headerImage,Sum of upVotes
https://lh3.googleusercontent.com/fife/AAWUweXoOnrHJUw8OzY-RhVIfNPjcqcIQBRE5HFe8lPvGYoqjAqppyExVufesL5OO9nsw1gok0r0oLYpO4kDNv2hOjJLPOzoJ9KhIU-jfOXGM-Q0qa7imhEqTX5yNpK2cJ6BRwphx2VSOxTrMzsv5jFmxkA_XdtZioSBUPxpAbSG0EzD3XT6Gzk10l8AGscOevb7OOqX-Sp2J-xu5RctrEWpyM3suLK2Uu8bIFPnGbVHuM6Z1zOZ7ib6CggPoWFAqJmaPFLp-nId9_T9L0DDdq1D7pAUoLppk3n1z0clq4VUoIuZetd2x5aVvC9r63s7kLX5KGs6hNKTscng1KfzhwttU80CGRR_QmMqoUxzcxFXF3-ExsOrC2oDoqvhuEM-ntHpUKzMJRqIQm0FX1FhCxpwfaKyJVBZxnVwE8M8cbLM5MbIdy-dN4LVRN99_TeDTnjxZpGhnTnYECAP8u_4xKn02hOHOAraqX7cTom6D6CUeoNE-14yFXHOF9pVzq4Pz-6NxNZr0bPFiM5149cEc-0CAS4EBQPVIewgPIhYSyZksAM48uBmZe-o-ZW51EnnNThs18dLgKeu23ggPj8Yg_BVx0g3EfAhIyHTSOAH0Hv24NEiUpzLVX--d-yPfFQDJhrEtxV8l8ViK53jCLXiIy5SajyI7vwilbpSlAKG31_N0tmBmTt_3K1f4at7VZaMZFgZPi9j-TItzKUdMYdMpTXL5aZ4bvCbIH7JFnI=w2880-h1426-ft,483
https://assets.tryhackme.com/additional/banners/SOC - Endpoint Security Monitoring banner.png,479
https://i.imgur.com/Xt399L6.png,474
https://images.unsplash.com/photo-1510127034890-ba27508e9f1c?ixlib=rb-1.2.1&ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&auto=format&fit=crop&w=1470&q=80,468
https://ctfresources.s3.eu-west-2.amazonaws.com/bannerhq.png,464
https://i.imgur.com/HNs4Vov.png,462
https://i.imgur.com/ox5xvwR.png,461
https://i.imgur.com/qnV5dJQ.png,452
https://i.imgur.com/v4nKoOE.png,451
https://images.unsplash.com/photo-1569235186275-626cb53b83ce?ixid=MnwxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8&ixlib=rb-1.2.1&auto=format&fit=crop&w=1352&q=80,441
https://i.ibb.co/rQD7Rqt/road-banner.png,436
https://assets.tryhackme.com/room-banners/redis.png,432
https://tryhackme-images.s3.amazonaws.com/user-uploads/5f04259cf9bf5b57aed2c476/room-content/ace5bb9cb9c1120a09d88620adb2976b.png,427
https://i.imgur.com/5lGaysK.png,426
https://tryhackme-images.s3.amazonaws.com/user-uploads/5f04259cf9bf5b57aed2c476/room-content/f4a51c1d1f46aaf3febfa41ce67cb309.png,424
https://i.imgur.com/eyf66N3.png,423
https://assets.tryhackme.com/room-banners/printerhacking101.png,422
https://assets.muirlandoracle.co.uk/thm/rooms/spring4shell/banner.png,421
https://i.imgur.com/2iH4uiK.png,420
https://assets.tryhackme.com/additional/warzone/warzone-banner.png,414
https://i.pinimg.com/originals/fd/65/ff/fd65ffab480607b6ec1eb33239e690f9.png,413
https://i.imgur.com/x2JjoHv.png,411
https://i.imgur.com/w0iocsP.png,406
https://cdn.discordapp.com/attachments/798799811482353734/817776161681178654/banner.png,391
https://assets.muirlandoracle.co.uk/thm/rooms/atlas/atlas-header.png,391
https://assets.tryhackme.com/additional/carnage/carnage-banner.png,385
https://wiki.thehacker.nz/wp-content/uploads/2021/10/pe_banner.png,381
https://assets.tryhackme.com/room-banners/lle.png,380
https://assets.muirlandoracle.co.uk/thm/rooms/yotjf/jellyfish-header.png,377
https://assets.tryhackme.com/additional/printnightmare/pm-room-banner1.png,376
https://i.imgur.com/IYYCiAQ.png,366
https://raw.githubusercontent.com/Gallopsled/pwntools/stable/docs/source/logo.png,364
https://assets.tryhackme.com/room-banners/pipelines.png,362
https://i.imgur.com/JOBQtGF.png,357
https://i.imgur.com/Rayti35.png,355
https://tryhackme-images.s3.amazonaws.com/user-uploads/5ed5961c6276df568891c3ea/room-content/86ec79178d0c8f02cdfbf389578a299a.png,355
https://i.imgur.com/b475ppm.png,349
https://pbs.twimg.com/profile_banners/2281370629/1581917395/1500x500,342
https://i.imgur.com/cOqoEZ9.png,328
https://i.imgur.com/DoHqxwV.png,324
https://assets.tryhackme.com/additional/opencti/Open%20CTI%20banner.png,324
https://assets.muirlandoracle.co.uk/thm/rooms/polkit/c1988d615891.png,319
https://i.imgur.com/GB0yqXv.png,319
https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Microsoft_Azure.svg/1280px-Microsoft_Azure.svg.png,315
https://i.imgur.com/sE0HfDO.png,315
